horizon,return_specification,peer_definition,direction,outcome,sample_size,missing_outcome_count,mean,median,standard_deviation,trimmed_mean,standard_error,bootstrap_standard_error,ci_lower,ci_upper,confidence_level,interval_method,p_value,proportion_positive
5,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,68,0,-0.0019399840430663323,-0.006168295441305394,0.047145183363583816,-0.004353883914173214,0.005966520115268914,,-0.014475177656776294,0.010595209570643629,0.95,analytical,0.7488201673639836,0.4411764705882353
5,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,105,0,0.00626352986208586,0.004466354018327443,0.048583377782400454,0.005641925462134078,0.004682970896381116,,-0.003538040870133855,0.016065100594305576,0.95,analytical,0.09842365856321583,0.5333333333333333
5,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,105,0,0.002396811745177517,-0.0009148276990219072,0.025405728611497216,0.0017682679457082884,0.003245452289511582,,-0.0043959979642047425,0.009189621454559777,0.95,analytical,0.4692272525382683,0.4666666666666667
5,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,105,0,0.003866718116908344,0.001431775149257828,0.044954443353251466,0.0029201409819076753,0.004071052410183391,,-0.004654092504362415,0.012387528738179103,0.95,analytical,0.35413601653599897,0.5333333333333333
10,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,114,0,-0.0014756532783217814,-0.004646014321721376,0.07680470918944077,-0.0030826469160769006,0.00655267933505744,,-0.015242321715975947,0.012291015159332385,0.95,analytical,0.5878190998836078,0.4824561403508772
10,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,114,0,0.002647004570049579,0.002729799632783358,0.04047668508776768,0.002540285819497162,0.0041625986985523115,,-0.006098290780417634,0.011392299920516791,0.95,analytical,0.5328430130745386,0.5789473684210527
10,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,114,0,-0.004122657848371359,-0.0057500675736210025,0.06193841202786869,-0.006190336511894737,0.004400516821582468,,-0.013367800627285407,0.005122484930542688,0.95,analytical,0.3612326425043529,0.47368421052631576
10,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,52,0,-0.013990636052233133,-0.011940751838425077,0.08814555482261341,-0.01786600870596882,0.011072459940621452,,-0.03746320255577161,0.009481930451305342,0.95,analytical,0.8877540719764416,0.40384615384615385
10,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,52,0,-0.0036258725230430113,0.0034716784310992468,0.04372682174551799,-0.0008303055997419748,0.00640982107120614,,-0.017214086178952967,0.009962341132866943,0.95,analytical,0.5794623488867185,0.5961538461538461
10,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,52,0,-0.01036476352919012,-0.021122497696247605,0.06809058922567877,-0.015853671085047746,0.008053839890940311,,-0.027438141393074017,0.006708614334693776,0.95,analytical,0.21642500533267237,0.38461538461538464
10,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,62,0,0.009020783886894193,0.002847287887599189,0.06470056212865093,0.008076965588504618,0.007527896765534216,,-0.006794740344475863,0.024836308118264247,0.95,analytical,0.12316752906215554,0.5483870967741935
10,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,62,0,0.007908127293288528,0.002205578898803127,0.037077423913295396,0.004516871853784595,0.005190593907458339,,-0.002996905848831548,0.018813160435408604,0.95,analytical,0.14499739929912123,0.5645161290322581
10,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,62,0,0.0011126565936056653,0.010969784448461703,0.05629711324603602,0.002242557711546494,0.006188626164455792,,-0.011889164514111868,0.014114477701323198,0.95,analytical,0.8593254958106779,0.5483870967741935
