horizon,return_specification,peer_definition,direction,outcome,sample_size,missing_outcome_count,mean,median,standard_deviation,trimmed_mean,proportion_positive,minimum,p05,p25,p75,p95,maximum,skewness,excess_kurtosis
1,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,226,0,0.0053963111301805365,0.002442522587469475,0.03989200465266016,0.0028054561832164915,0.5398230088495575,-0.11904788802955217,-0.046958856263556586,-0.013089460035520396,0.01748304629752651,0.06308780700993309,0.24884302986515722,1.981264931669688,10.625270914956285
1,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,226,0,0.0026150612839820784,0.000272013731849055,0.01856735789016587,0.0015732985138802746,0.5176991150442478,-0.07440643781490117,-0.019636620626576257,-0.005356409365009562,0.009902783662642654,0.029528669661239296,0.11881025074820399,1.3256992125947116,10.074935771667977
1,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,226,0,0.0027812498461984568,0.0025580787799749246,0.03736226944632892,0.0006763322553331044,0.5353982300884956,-0.10321230645005977,-0.0469539397718864,-0.01390281404552068,0.014106334111773613,0.05612373915649017,0.26805245177235193,2.616095688736167,16.66480075278562
1,semiconductor_adjusted_return,economic_subsector_peers,negative,convergence,94,0,0.008059544112549851,0.0026091246006435575,0.0444038436909973,0.0037040318282053493,0.5531914893617021,-0.07875671478747175,-0.04442573261585863,-0.00604350882184284,0.017281206147515903,0.06059464785690859,0.24884302986515722,3.0414144786288646,14.45399629471057
1,semiconductor_adjusted_return,economic_subsector_peers,negative,peer_catchup,94,0,0.0018474534506845188,0.0007141218931567654,0.017556525842863272,0.0022777489585437106,0.5106382978723404,-0.07440643781490117,-0.02076424263626691,-0.004405236128429705,0.009963113147930403,0.027386647842726233,0.06251982100327717,-0.9377065120319535,6.360903011364378
1,semiconductor_adjusted_return,economic_subsector_peers,negative,initiator_reversal,94,0,0.006212090661865333,0.005633519502658165,0.04603119398201812,0.0016661033957447505,0.574468085106383,-0.08449839341073911,-0.049802389036625934,-0.011595909910408583,0.013089035274557669,0.0597875613556257,0.26805245177235193,3.236882769224441,16.078654212048136
1,semiconductor_adjusted_return,economic_subsector_peers,positive,convergence,132,0,0.0034997664306145085,0.0017129011394793059,0.03639782009247915,0.002166456348762478,0.5303030303030303,-0.11904788802955217,-0.050193292672800885,-0.015983890930240344,0.01731995689500917,0.061826590612160885,0.14956028549887992,0.535875944217821,3.2482470954646105
1,semiconductor_adjusted_return,economic_subsector_peers,positive,peer_catchup,132,0,0.003161691104663674,0.0001834658010258381,0.01930226769759715,0.0010682208365744145,0.5227272727272727,-0.03132455713225173,-0.019595532238529792,-0.006317072231656659,0.008959501764995347,0.03230999316556242,0.11881025074820399,2.5223410635623806,11.6910180957494
1,semiconductor_adjusted_return,economic_subsector_peers,positive,initiator_reversal,132,0,0.00033807532595083345,0.0005173028940724175,0.0296463847155661,-2.3816797598908378e-05,0.5075757575757576,-0.10321230645005977,-0.04443710125209306,-0.01495808124554255,0.01456776561208844,0.04564574415783989,0.09781236160585928,0.15050816293005886,2.079466232287132
3,semiconductor_adjusted_return,economic_subsector_peers,all,convergence,196,0,0.0020598446295170703,0.001204447007449717,0.04514365151678351,0.0019694745645293175,0.5153061224489796,-0.1663885100468658,-0.06470323468541156,-0.020589267289581076,0.026596224372516915,0.0741527616007051,0.17822029095814879,0.05816099623292954,2.114463884827382
3,semiconductor_adjusted_return,economic_subsector_peers,all,peer_catchup,196,0,0.001762908247353488,-0.0003172973315667257,0.023680744193841197,0.001424324621869656,0.49489795918367346,-0.09327662465248283,-0.03207086083567679,-0.009430099969763,0.013226565410547432,0.037387161245530987,0.08354193807285967,0.05825607797490676,3.0881087864825627
3,semiconductor_adjusted_return,economic_subsector_peers,all,initiator_reversal,196,0,0.0002969363821635826,-0.0018573194700174274,0.042763110366322736,-0.000120477292682164,0.4846938775510204,-0.1398658150796836,-0.06160808188021609,-0.025609803747361937,0.02263965867962765,0.06991882966721563,0.19937508593014344,0.30769808188779674,3.019275394121248
