horizon,valid_events,convergence_mean,convergence_median,convergence_ci_lower,convergence_ci_upper,peer_catchup_mean,peer_catchup_median,peer_catchup_ci_lower,peer_catchup_ci_upper,initiator_reversal_mean,initiator_reversal_median,initiator_reversal_ci_lower,initiator_reversal_ci_upper
1,226,0.0053963111301805365,0.002442522587469475,-0.001604954885193471,0.012397577145554544,0.0026150612839820784,0.000272013731849055,-0.0002725830340303357,0.0055027056019944925,0.0027812498461984568,0.0025580787799749246,-0.0035994403837873172,0.009161940076184231
3,196,0.0020598446295170703,0.001204447007449717,-0.0052284866300568,0.00934817588909094,0.001762908247353488,-0.0003172973315667257,-0.0021383789096070973,0.005664195404314074,0.0002969363821635826,-0.0018573194700174274,-0.006053653960345663,0.006647526724672828
5,173,0.003760951149214081,0.0009755050179123606,-0.0031214976561606453,0.010643399954588807,0.0021766361934518535,-0.0009148276990219072,-0.001922692203098703,0.00627596459000241,0.0015843149557622281,-0.0008878947378266047,-0.006241100075039228,0.009409729986563684
10,114,-0.0014756532783217814,-0.004646014321721376,-0.015242321715975947,0.012291015159332385,0.002647004570049579,0.002729799632783358,-0.006098290780417634,0.011392299920516791,-0.004122657848371359,-0.0057500675736210025,-0.013367800627285407,0.005122484930542688
