horizon,return_specification,peer_definition,method,method_label,outcome,mean,ci_lower,ci_upper,sample_size,experiment_iterations,observed_statistic,observed_sample_size,null_mean,null_standard_deviation,null_iterations,empirical_p_value,percentile_location,alternative
5,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,convergence,0.003760951149214,-0.0028748240761977,0.0096211503763151,173,1000,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,convergence,-0.000337507777776,-0.0059456923127147,0.0048530579904337,165,200,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,convergence,0.0025102860363113,-0.0011356306445353,0.0063506836132626,173,200,0.003760951149214,173,-0.000766068625774,0.0040820024552477,500,0.1297405189620758,87.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,initiator_reversal,-0.000941513872517,-0.0096895056038882,0.0076143849935227,82,500,0.0015843149557622,173,-0.000941513872517,0.0043016108793946,500,0.2754491017964072,72.6,greater
5,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,initiator_reversal,0.0015843149557622,-0.0050784283015626,0.0088927441144903,173,1000,0.0015843149557622,173,-0.000941513872517,0.0043016108793946,500,0.2754491017964072,72.6,greater
5,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,initiator_reversal,-0.000134382638167,-0.0058864364236945,0.005090668332316,165,200,0.0015843149557622,173,-0.000941513872517,0.0043016108793946,500,0.2754491017964072,72.6,greater
5,semiconductor_adjusted_return,economic_subsector_peers,random_peers,Random peers,initiator_reversal,0.002584802338671,0.0002736379903286,0.0048968636751013,173,200,0.0015843149557622,173,-0.000941513872517,0.0043016108793946,500,0.2754491017964072,72.6,greater
5,semiconductor_adjusted_return,economic_subsector_peers,null_simulation,Null simulation,peer_catchup,0.000175445246743,-0.0039108236691858,0.0043785567948829,82,500,0.0021766361934518,173,0.000175445246743,0.0021374402616048,500,0.1696606786427145,83.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,observed,Observed events,peer_catchup,0.0021766361934518,-0.0019312543777405,0.0059344644848184,173,1000,0.0021766361934518,173,0.000175445246743,0.0021374402616048,500,0.1696606786427145,83.2,greater
5,semiconductor_adjusted_return,economic_subsector_peers,pseudo_events,Pseudo-events,peer_catchup,-0.000203125139609,-0.0041833994566477,0.0039025191949267,165,200,0.0021766361934518,173,0.000175445246743,0.0021374402616048,500,0.1696606786427145,83.2,greater
