group,relative_day,outcome,sample_size,mean,ci_lower,ci_upper,sample_label
all_non_equipment,1,peer_car,168,0.0006049333848742141,-0.002371723158678074,0.003581589928426502,adequate_analysis_sample
all_non_equipment,1,initiator_car,168,0.0053038568342068755,-0.0010012463343536115,0.011608960002767362,adequate_analysis_sample
all_non_equipment,1,peer_catchup,168,0.0002633561544737995,-0.002714462926662975,0.003241175235610574,adequate_analysis_sample
all_non_equipment,1,initiator_reversal,168,0.003081236083810355,-0.0032582676006571248,0.009420739768277835,adequate_analysis_sample
all_non_equipment,1,convergence,168,0.0033445922382841563,-0.0033180626549772605,0.010007247131545573,adequate_analysis_sample
all_non_equipment,2,peer_car,152,0.001149929685672627,-0.0023138915044480174,0.004613750875793271,adequate_analysis_sample
all_non_equipment,2,initiator_car,152,0.0018983419343362093,-0.004680208013844486,0.008476891882516905,adequate_analysis_sample
all_non_equipment,2,peer_catchup,152,-0.0012761430085376129,-0.004738821310466555,0.0021865352933913293,adequate_analysis_sample
all_non_equipment,2,initiator_reversal,152,0.0009420208524881574,-0.005641864285114126,0.0075259059900904405,adequate_analysis_sample
all_non_equipment,2,convergence,152,-0.00033412215604945565,-0.007194568671065748,0.006526324358966837,adequate_analysis_sample
all_non_equipment,3,peer_car,144,0.001895769827677599,-0.0023477630890345077,0.006139302744389705,adequate_analysis_sample
all_non_equipment,3,initiator_car,144,-0.001450198513242326,-0.009083200997069964,0.0061828039705853115,adequate_analysis_sample
all_non_equipment,3,peer_catchup,144,-0.0008474713849376691,-0.005100252570290764,0.0034053098004154254,adequate_analysis_sample
all_non_equipment,3,initiator_reversal,144,0.0010343506724216672,-0.006600500850569428,0.008669202195412761,adequate_analysis_sample
all_non_equipment,3,convergence,144,0.00018687928748399875,-0.007768544583879477,0.008142303158847475,adequate_analysis_sample
all_non_equipment,4,peer_car,136,0.001181934515441574,-0.0033811406173314858,0.005745009648214634,adequate_analysis_sample
all_non_equipment,4,initiator_car,136,-0.004540182955153733,-0.012209959741311761,0.003129593831004294,adequate_analysis_sample
all_non_equipment,4,peer_catchup,136,-0.0016500344287805392,-0.006208899160078279,0.0029088303025172004,adequate_analysis_sample
all_non_equipment,4,initiator_reversal,136,0.0037501477333894933,-0.003931989649596918,0.011432285116375906,adequate_analysis_sample
all_non_equipment,4,convergence,136,0.0021001133046089546,-0.006378813765417492,0.010579040374635402,adequate_analysis_sample
all_non_equipment,5,peer_car,126,0.000828661338269288,-0.004542107434488823,0.006199430111027399,adequate_analysis_sample
all_non_equipment,5,initiator_car,126,-0.00433715982253933,-0.013159406930406422,0.004485087285327762,adequate_analysis_sample
all_non_equipment,5,peer_catchup,126,-2.7418286723430445e-06,-0.005375513403474578,0.0053700297461298915,adequate_analysis_sample
all_non_equipment,5,initiator_reversal,126,0.003998034508576355,-0.004829231160936369,0.01282530017808908,adequate_analysis_sample
all_non_equipment,5,convergence,126,0.003995292679904012,-0.006166318075884257,0.01415690343569228,adequate_analysis_sample
all_non_equipment,6,peer_car,124,0.0021353484440642316,-0.003636116614353233,0.007906813502481696,adequate_analysis_sample
all_non_equipment,6,initiator_car,124,-0.0013553062463218725,-0.011173524879662108,0.008462912387018361,adequate_analysis_sample
all_non_equipment,6,peer_catchup,124,0.00042821438886661757,-0.00535531548905023,0.006211744266783465,adequate_analysis_sample
all_non_equipment,6,initiator_reversal,124,0.0011982444529321924,-0.008620624784738072,0.011017113690602457,adequate_analysis_sample
all_non_equipment,6,convergence,124,0.0016264588417988087,-0.00930088029604362,0.012553797979641236,adequate_analysis_sample
all_non_equipment,7,peer_car,112,0.0037434690326327144,-0.002969068876636195,0.010456006941901623,adequate_analysis_sample
all_non_equipment,7,initiator_car,112,0.0012139313619751557,-0.010101406938456872,0.012529269662407184,adequate_analysis_sample
all_non_equipment,7,peer_catchup,112,-0.00033532684772743425,-0.007084394553338447,0.006413740857883578,adequate_analysis_sample
all_non_equipment,7,initiator_reversal,112,-0.001752602862496864,-0.013065443014699604,0.009560237289705875,adequate_analysis_sample
all_non_equipment,7,convergence,112,-0.002087929710224298,-0.015589604627185744,0.011413745206737148,adequate_analysis_sample
all_non_equipment,8,peer_car,100,0.00726290102433064,-0.0006634670610345065,0.015189269109695787,adequate_analysis_sample
all_non_equipment,8,initiator_car,100,-0.0033451038881745156,-0.01609343376467943,0.009403225988330401,adequate_analysis_sample
all_non_equipment,8,peer_catchup,100,-0.0011989599669865307,-0.009253023515871126,0.006855103581898066,adequate_analysis_sample
all_non_equipment,8,initiator_reversal,100,-0.00223214179220995,-0.01499014988127831,0.01052586629685841,adequate_analysis_sample
all_non_equipment,8,convergence,100,-0.003431101759196481,-0.018804794877640623,0.01194259135924766,adequate_analysis_sample
all_non_equipment,9,peer_car,98,0.008425951274365896,9.881284923817651e-05,0.016753089699493615,adequate_analysis_sample
all_non_equipment,9,initiator_car,98,-0.0032401541443472367,-0.017328836792273324,0.010848528503578848,adequate_analysis_sample
all_non_equipment,9,peer_catchup,98,-0.0005731479589787355,-0.00907085566246357,0.007924559744506097,adequate_analysis_sample
all_non_equipment,9,initiator_reversal,98,-0.0022045988436483273,-0.016301405194927825,0.011892207507631172,adequate_analysis_sample
all_non_equipment,9,convergence,98,-0.0027777468026270605,-0.01964943725205162,0.014093943646797502,adequate_analysis_sample
all_non_equipment,10,peer_car,92,0.008048690896441113,-0.0009110289347966753,0.0170084107276789,adequate_analysis_sample
all_non_equipment,10,initiator_car,92,-0.0037322418672351616,-0.017320874701946775,0.009856390967476451,adequate_analysis_sample
all_non_equipment,10,peer_catchup,92,0.0004693127452118206,-0.008645285717286275,0.009583911207709916,adequate_analysis_sample
all_non_equipment,10,initiator_reversal,92,-0.0024756612795549587,-0.016076733897337048,0.011125411338227129,adequate_analysis_sample
all_non_equipment,10,convergence,92,-0.0020063485343431386,-0.019133594190681422,0.015120897121995146,adequate_analysis_sample
equipment,1,peer_car,58,0.0024492033240067633,-0.0018057022148899311,0.006704108862903457,adequate_analysis_sample
equipment,1,initiator_car,58,-0.006064437395809032,-0.011325881537167293,-0.0008029932544507722,adequate_analysis_sample
equipment,1,peer_catchup,58,0.009426896831523302,0.005923385497312521,0.012930408165734084,adequate_analysis_sample
equipment,1,initiator_reversal,58,0.0019123241924260614,-0.0035660668214071217,0.007390715206259244,adequate_analysis_sample
equipment,1,convergence,58,0.011339221023949365,0.004751838875579778,0.01792660317231895,adequate_analysis_sample
