grouping,group,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label
subsector_full_disclosure,analog_mixed_signal,1,peer_car,101,101,-0.0022321995184449686,6.106243985122377e-05,-0.004250666270355438,-0.00021373276653449897,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,1,initiator_car,101,101,0.001247690903908555,0.0056221691602711555,-0.004544233059882339,0.007039614867699448,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,1,peer_catchup,101,101,0.00010402989227343506,-0.00048318964810220577,-0.001962345878339992,0.0021704056628868624,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,1,initiator_reversal,101,101,0.0021206469566835144,0.000842762053955802,-0.0036612769812469303,0.007902570894613959,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,1,convergence,101,101,0.00222467684895695,0.0006389867163812818,-0.003331408418142749,0.007780762116056649,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,5,peer_car,68,68,-0.006671340733899681,-0.002371444913155192,-0.012382502271822991,-0.0009601791959763708,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,5,initiator_car,68,68,-0.006950908526465806,-0.005385564363439494,-0.018410523848468155,0.0045087067955365415,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,5,peer_catchup,68,68,-0.0009850633201492621,-0.003315633865834653,-0.006918543893410145,0.004948417253111622,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,5,initiator_reversal,68,68,-0.0005252991239969231,-0.006928335412664128,-0.012108880522688846,0.011058282274694999,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,5,convergence,68,68,-0.0015103624441461865,-0.0006562835127958098,-0.01401771176721966,0.010996986878927287,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,10,peer_car,39,39,-0.001355078307903812,-0.0018910239622698041,-0.009312940788927245,0.006602784173119621,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,10,initiator_car,39,39,-0.006421265222929917,-0.008160778006226157,-0.025876443371831145,0.013033912925971312,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,10,peer_catchup,39,39,0.0012897824685690889,0.0015992482092123993,-0.006669250148956908,0.009248815086095086,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,10,initiator_reversal,39,39,0.003008634151691115,0.001892563567077652,-0.016535534901132434,0.022552803204514662,adequate_analysis_sample
subsector_full_disclosure,analog_mixed_signal,10,convergence,39,39,0.004298416620260203,0.0025873201400892516,-0.01560239018487496,0.024199223425395367,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,1,peer_car,38,38,0.006835362038002189,-0.0007349579852341765,-0.004638028280618675,0.018308752356623055,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,1,initiator_car,38,38,0.01429859512320741,0.00830106557207167,-0.00604926657316129,0.03464645681957611,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,1,peer_catchup,38,38,0.003804693286636681,-0.0017611163537492995,-0.007823578266366746,0.015432964839640108,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,1,initiator_reversal,38,38,0.008255733290610941,0.0021211837601210724,-0.012460402362683485,0.02897186894390537,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,1,convergence,38,38,0.012060426577247622,-0.0013177602140293314,-0.010718060031535257,0.0348389131860305,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,5,peer_car,34,34,0.012134066970592128,0.007712017958205633,-0.0016174414150391496,0.025885575356223406,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,5,initiator_car,34,34,0.0009743136374923712,-0.0052637410927617,-0.01724565974081092,0.019194287015795664,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,5,peer_catchup,34,34,0.0008067334199609015,0.0011495778875284662,-0.013597793203130178,0.015211260043051981,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,5,initiator_reversal,34,34,0.009423796033724244,0.007535989182785927,-0.008491201976997095,0.027338794044445582,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,5,convergence,34,34,0.010230529453685145,0.0007690694875542138,-0.015534740885896072,0.035995799793266364,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,10,peer_car,30,30,0.022072475978218226,0.021004652709278024,0.0008306790807140682,0.043314272875722384,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,10,initiator_car,30,30,-0.0006041444161523616,-0.006589915058359883,-0.029736483138911834,0.028528194306607114,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,10,peer_catchup,30,30,-0.0019447841547602092,0.0015185617335012553,-0.0247689239043962,0.02087935559487578,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,10,initiator_reversal,30,30,-0.018656137630507295,-0.026252041775152314,-0.046914637414515875,0.009602362153501288,adequate_analysis_sample
subsector_full_disclosure,fabless_compute,10,convergence,30,30,-0.020600921785267505,-0.017575464667741722,-0.0633929660983058,0.022191122527770793,adequate_analysis_sample
subsector_full_disclosure,foundry,1,peer_car,29,29,0.002321972502680228,0.0032298593393670564,-0.0031844065272101604,0.007828351532570617,small_sample_descriptive_only
subsector_full_disclosure,foundry,1,initiator_car,29,29,0.007644294902417563,0.007332452263311634,-0.008964556042277257,0.024253145847112384,small_sample_descriptive_only
subsector_full_disclosure,foundry,1,peer_catchup,29,29,-0.003822121726214224,-0.0034998024232953187,-0.009201617733479293,0.0015573742810508456,small_sample_descriptive_only
subsector_full_disclosure,foundry,1,initiator_reversal,29,29,-0.00035363950303830816,0.007749757883786007,-0.017223496305553487,0.01651621729947687,small_sample_descriptive_only
subsector_full_disclosure,foundry,1,convergence,29,29,-0.0041757612292525345,-0.0014570889046320312,-0.02148305418408459,0.013131531725579522,small_sample_descriptive_only
subsector_full_disclosure,foundry,5,peer_car,24,24,0.006062675896957342,0.008189920585174586,-0.005945233331368514,0.018070585125283197,small_sample_descriptive_only
subsector_full_disclosure,foundry,5,initiator_car,24,24,-0.0044561258964592254,-0.005233525899372575,-0.02797977571559049,0.019067523922672042,small_sample_descriptive_only
subsector_full_disclosure,foundry,5,peer_catchup,24,24,0.0016337457949484955,-0.00357912071779193,-0.010635404228796053,0.013902895818693042,small_sample_descriptive_only
