grouping,group,horizon,outcome,event_count,sample_size,mean,median,ci_lower,ci_upper,sample_label
binary,equipment,1,peer_car,58,58,0.0024492033240067633,-0.000256221641913301,-0.0018057022148899311,0.006704108862903457,adequate_analysis_sample
binary,equipment,1,initiator_car,58,58,-0.006064437395809034,-0.005360029534511103,-0.011325881537167293,-0.0008029932544507739,adequate_analysis_sample
binary,equipment,1,peer_catchup,58,58,0.0094268968315233,0.00875023652810569,0.005923385497312518,0.012930408165734084,adequate_analysis_sample
binary,equipment,1,initiator_reversal,58,58,0.0019123241924260614,0.0025580787799749246,-0.003566066821407121,0.007390715206259243,adequate_analysis_sample
binary,equipment,1,convergence,58,58,0.011339221023949365,0.00988107653569208,0.004751838875579776,0.017926603172318954,adequate_analysis_sample
binary,equipment,5,peer_car,47,47,0.0004757675829399491,-0.003328870848318214,-0.005276267638991329,0.006227802804871227,adequate_analysis_sample
binary,equipment,5,initiator_car,47,47,0.00018208128587380876,-0.0002544085369748962,-0.009060606280251654,0.009424768851999273,adequate_analysis_sample
binary,equipment,5,peer_catchup,47,47,0.008019224082550763,0.01096323573613742,0.0027807599789617804,0.013257688186139746,adequate_analysis_sample
binary,equipment,5,initiator_reversal,47,47,-0.004886507675186282,-0.0009648813533239854,-0.014014869386390088,0.004241854036017524,adequate_analysis_sample
binary,equipment,5,convergence,47,47,0.0031327164073644788,0.0037228632557853164,-0.005973007476226017,0.012238440290954975,adequate_analysis_sample
binary,equipment,10,peer_car,22,22,-0.002801377231384421,-0.004443279200023584,-0.012216607583696852,0.00661385312092801,small_sample_descriptive_only
binary,equipment,10,initiator_car,22,22,-0.012026643660718296,-0.021014113087041885,-0.03118015722209255,0.007126869900655957,small_sample_descriptive_only
binary,equipment,10,peer_catchup,22,22,0.011753715837552931,0.012198810008535316,0.0038916671098835672,0.019615764565222293,small_sample_descriptive_only
binary,equipment,10,initiator_reversal,22,22,-0.011010098045239948,-0.010923347988257223,-0.030289097597881807,0.008268901507401913,small_sample_descriptive_only
binary,equipment,10,convergence,22,22,0.0007436177923129859,-0.007444847005528333,-0.019558817354291762,0.02104605293891773,small_sample_descriptive_only
binary,all_non_equipment,1,peer_car,168,168,0.0006049333848742137,0.0001834658010258381,-0.002371723158678074,0.003581589928426502,adequate_analysis_sample
binary,all_non_equipment,1,initiator_car,168,168,0.0053038568342068755,0.006247271243044276,-0.0010012463343536107,0.01160896000276736,adequate_analysis_sample
binary,all_non_equipment,1,peer_catchup,168,168,0.0002633561544737991,-0.0011773588919883325,-0.0027144629266629755,0.0032411752356105734,adequate_analysis_sample
binary,all_non_equipment,1,initiator_reversal,168,168,0.003081236083810356,0.0021211837601210724,-0.003258267600657124,0.009420739768277836,adequate_analysis_sample
binary,all_non_equipment,1,convergence,168,168,0.003344592238284155,0.00011402667267875659,-0.003318062654977261,0.01000724713154557,adequate_analysis_sample
binary,all_non_equipment,5,peer_car,126,126,0.0008286613382692888,2.009731894594838e-05,-0.004542107434488822,0.0061994301110274,adequate_analysis_sample
binary,all_non_equipment,5,initiator_car,126,126,-0.004337159822539329,-0.0053235713073230525,-0.01315940693040642,0.004485087285327763,adequate_analysis_sample
binary,all_non_equipment,5,peer_catchup,126,126,-2.741828672343375e-06,-0.0028002080240148094,-0.005375513403474579,0.005370029746129892,adequate_analysis_sample
binary,all_non_equipment,5,initiator_reversal,126,126,0.003998034508576356,-0.0001975563794227599,-0.004829231160936368,0.01282530017808908,adequate_analysis_sample
binary,all_non_equipment,5,convergence,126,126,0.0039952926799040125,0.0005270984595883883,-0.006166318075884256,0.014156903435692281,adequate_analysis_sample
binary,all_non_equipment,10,peer_car,92,92,0.008048690896441113,0.0015561884068554083,-0.0009110289347966736,0.017008410727678898,adequate_analysis_sample
binary,all_non_equipment,10,initiator_car,92,92,-0.003732241867235162,-0.01067212208935515,-0.017320874701946775,0.00985639096747645,adequate_analysis_sample
binary,all_non_equipment,10,peer_catchup,92,92,0.0004693127452118206,0.0011470023911119994,-0.008645285717286271,0.009583911207709912,adequate_analysis_sample
binary,all_non_equipment,10,initiator_reversal,92,92,-0.0024756612795549587,-0.0057500675736210025,-0.016076733897337048,0.011125411338227129,adequate_analysis_sample
binary,all_non_equipment,10,convergence,92,92,-0.002006348534343137,-0.002256066413850656,-0.01913359419068142,0.015120897121995144,adequate_analysis_sample
