dimension,category_count,largest_category,largest_category_share,herfindahl_index,effective_category_count,event_count
year,11,2024,0.21487603305785125,0.1311044327573253,7.6275071633237825,242
month,95,2025-08,0.04132231404958678,0.01724608974796804,57.98415841584156,242
company,21,STM,0.09917355371900827,0.06225667645652619,16.062534284147013,242
subsector,4,analog_mixed_signal,0.45041322314049587,0.3129909159210436,3.194980905619204,242
direction,2,positive,0.5785123966942148,0.5123283928693394,1.9518730835888554,242
