event_date,initiator,company_name,subsector,relative_shock_magnitude,z_score,market_cap,volume_percentile,abnormal_volume_ratio,peer_return,initiator_return,peer_count,peer_portfolio_coverage
2024-12-03,CRDO,Credo Technology Group Holding Ltd.,fabless_compute,0.47840809915242966,16.888316879770723,,1.0,8.374455659878672,0.00046226841440725596,0.47887036756683693,3,1.0
2024-05-30,CRDO,Credo Technology Group Holding Ltd.,fabless_compute,0.27512333251467713,10.454143349811607,,1.0,5.980126418062878,-0.004599029524695819,0.2705243029899813,3,1.0
2025-10-06,AMD,Advanced Micro Devices Inc.,fabless_compute,0.22211221690225408,8.701085422622567,,1.0,6.453811063767988,0.014968058673314223,0.2370802755755683,3,1.0
2023-06-01,CRDO,Credo Technology Group Holding Ltd.,fabless_compute,0.19700458666391163,6.294726922695025,,0.9920634920634921,7.753288245301025,0.035484297203145276,0.2324888838670569,3,1.0
2023-10-30,ON,onsemi,analog_mixed_signal,-0.1910175981116804,-14.960735202480125,,1.0,7.092175557200575,-0.026654828084292537,-0.21767242619597293,8,1.0
2024-12-03,MRVL,Marvell Technology Inc.,fabless_compute,-0.17316299533449203,-8.179741885128983,,0.9722222222222222,2.3992940826671396,0.16335504203613765,-0.009807953298354377,3,1.0
2016-09-29,NXPI,NXP Semiconductors N.V.,analog_mixed_signal,0.1699981910115726,14.682793984588868,,0.9880952380952381,7.306172802806225,-0.0012239193164162443,0.16877427169515635,8,1.0
2015-10-29,NXPI,NXP Semiconductors N.V.,analog_mixed_signal,-0.1653123688274203,-10.279900667090102,,1.0,11.939831253868457,-0.03178389002771978,-0.19709625885514007,8,1.0
2023-05-25,MPWR,Monolithic Power Systems Inc.,analog_mixed_signal,0.16514864918128733,7.120447293381377,,0.9920634920634921,4.17309205350118,0.009459699969218832,0.17460834915050616,8,1.0
2024-12-03,AMD,Advanced Micro Devices Inc.,fabless_compute,-0.16083659791429739,-6.795734477198919,,0.015873015873015872,0.4622227388552568,0.16027344268108898,-0.0005631552332084067,3,1.0
2015-10-21,KLAC,KLA Corporation,semiconductor_equipment,0.1607537258743067,10.621585849451414,,1.0,17.738379328014055,0.02714058372362262,0.18789430959792933,6,1.0
2025-01-27,AMD,Advanced Micro Devices Inc.,fabless_compute,0.15951144986428908,4.552044337250869,,0.75,1.369527141431471,-0.22325285685784302,-0.06374140699355393,3,1.0
2025-03-05,CRDO,Credo Technology Group Holding Ltd.,fabless_compute,-0.15336654202638333,-3.2836851526962474,,0.996031746031746,8.361217067329017,0.013638997931586738,-0.1397275440947966,3,1.0
2025-11-10,TSEM,Tower Semiconductor Ltd.,foundry,0.15049980108358785,6.365038493546686,,1.0,7.440383801326372,0.01638492391017987,0.16688472499376772,3,1.0
2023-05-25,NVDA,NVIDIA Corporation,fabless_compute,0.14918294781946284,8.620724567622766,,1.0,3.1816816074188563,0.0945137454240832,0.24369669324354604,3,1.0
2020-02-03,ON,onsemi,analog_mixed_signal,-0.14671463150589084,-14.82219496886898,,1.0,6.457514759890289,0.006757835630839232,-0.1399567958750516,8,1.0
2024-12-03,NVDA,NVIDIA Corporation,fabless_compute,-0.14440850590364018,-7.34394303287988,,0.011904761904761904,0.44004908645398544,0.15616641967842468,0.011757913774784495,3,1.0
2024-09-05,CRDO,Credo Technology Group Holding Ltd.,fabless_compute,-0.14370758693435648,-4.904682235536517,,0.996031746031746,5.962504581207184,-0.004854704818816224,-0.1485622917531727,3,1.0
2024-10-31,MPWR,Monolithic Power Systems Inc.,analog_mixed_signal,-0.1431026252741869,-7.1481425827564005,,1.0,6.481120067882902,-0.031400742750876606,-0.1745033680250635,8,1.0
2024-11-05,GFS,GlobalFoundries Inc.,foundry,0.14095726599039682,8.55238265914688,,0.9920634920634921,5.071463296062227,0.007890294447661983,0.1488475604380588,3,1.0
2025-08-29,MRVL,Marvell Technology Inc.,fabless_compute,-0.1409268813747813,-6.038457509194163,,1.0,7.08804163631905,-0.04501115213401359,-0.1859380335087949,3,1.0
2024-11-11,MPWR,Monolithic Power Systems Inc.,analog_mixed_signal,-0.1408504032419623,-5.5459948395625975,,1.0,8.39648314841951,-0.008880315209873868,-0.14973071845183616,8,1.0
2025-08-04,TSEM,Tower Semiconductor Ltd.,foundry,0.13953204339675812,6.427086801724797,,0.996031746031746,4.575730201746462,0.001726108202579531,0.14125815159933766,3,1.0
2025-10-23,STM,STMicroelectronics N.V.,analog_mixed_signal,-0.13678376174430018,-10.75112021450726,,0.9880952380952381,3.1036509349955477,0.004228737154061038,-0.13255502459023916,8,1.0
2024-05-30,NVDA,NVIDIA Corporation,fabless_compute,-0.13579716878621426,-5.475999888708258,,0.6309523809523809,1.0862042490711112,0.09813109580052704,-0.03766607298568722,3,1.0
