peer_definition,horizon,outcome,event_count,sample_size,mean,median,standard_deviation,minimum,maximum,proportion_positive,ci_lower,ci_upper,confidence_level,sample_label
broad_semiconductor_peers,1,convergence,208,208,0.003573397311365095,0.002647416137234462,0.039721088872829644,-0.10624796252212035,0.27617525334121107,0.5336538461538461,-0.0018564065580317281,0.009003201180761918,0.95,adequate_descriptive_sample
broad_semiconductor_peers,1,peer_catchup,208,208,6.353120448181517e-05,2.9675854808599626e-05,0.0015248600429270565,-0.011446248341871225,0.008122801568859148,0.5240384615384616,-0.00014491451531912114,0.00027197692428275146,0.95,adequate_descriptive_sample
broad_semiconductor_peers,1,initiator_reversal,208,208,0.0035098661068832795,0.0025580787799749246,0.038531672494095545,-0.10321230645005977,0.26805245177235193,0.5384615384615384,-0.001757346609077364,0.008777078822843922,0.95,adequate_descriptive_sample
broad_semiconductor_peers,3,convergence,163,163,-0.0003365909881962242,-0.0016713105372759124,0.04558356671492739,-0.1448000679916937,0.2052390590457359,0.4785276073619632,-0.0073870777187963945,0.006713895742403947,0.95,adequate_descriptive_sample
broad_semiconductor_peers,3,peer_catchup,163,163,-1.1426612791003381e-05,-6.624811897522646e-05,0.0016909606345257837,-0.00525941283129576,0.007356409617668807,0.48466257668711654,-0.00027297033073326606,0.00025011710515125934,0.95,adequate_descriptive_sample
broad_semiconductor_peers,3,initiator_reversal,163,163,-0.0003251643754052205,-0.002186187926182425,0.04416955621323423,-0.1398658150796836,0.19937508593014344,0.4723926380368098,-0.00715694372969444,0.006506614978884,0.95,adequate_descriptive_sample
broad_semiconductor_peers,5,convergence,131,131,0.0029328562364458323,0.0002634945561525721,0.046582803777150614,-0.17681385847832254,0.15816949253476384,0.5038167938931297,-0.0051190698378833655,0.010984782310775031,0.95,adequate_descriptive_sample
broad_semiconductor_peers,5,peer_catchup,131,131,8.907959183402381e-05,1.4932787241850429e-05,0.0021980702475131197,-0.007868318597245294,0.009310779664302663,0.5190839694656488,-0.0002908610236735282,0.00046902020734157577,0.95,adequate_descriptive_sample
broad_semiconductor_peers,5,initiator_reversal,131,131,0.0028437766446118085,0.0002544085369748962,0.04523762864290252,-0.16894553988107724,0.15365036417662772,0.5038167938931297,-0.004975633353832228,0.010663186643055846,0.95,adequate_descriptive_sample
broad_semiconductor_peers,10,convergence,62,62,-0.003997305605516565,-0.007587510164569951,0.06100511260813461,-0.12581533071694634,0.2035015010142277,0.41935483870967744,-0.019489703368937336,0.011495092157904204,0.95,adequate_descriptive_sample
broad_semiconductor_peers,10,peer_catchup,62,62,-0.00029975857088453773,-0.00022176074741486537,0.0030553348519454034,-0.00604596545361381,0.013867874855140967,0.45161290322580644,-0.00107566833980559,0.0004761511980365145,0.95,adequate_descriptive_sample
broad_semiconductor_peers,10,initiator_reversal,62,62,-0.003697547034632031,-0.007368105850650319,0.05938259072459357,-0.12222060698217643,0.1976871724138212,0.43548387096774194,-0.018777901391770806,0.011382807322506745,0.95,adequate_descriptive_sample
economic_subsector_peers,1,convergence,226,226,0.0053963111301805365,0.002442522587469475,0.03989200465266016,-0.11904788802955217,0.24884302986515722,0.5398230088495575,0.0001672700765492762,0.010625352183811797,0.95,adequate_descriptive_sample
economic_subsector_peers,1,peer_catchup,226,226,0.0026150612839820784,0.000272013731849055,0.01856735789016587,-0.07440643781490117,0.11881025074820399,0.5176991150442478,0.0001812533690753169,0.00504886919888884,0.95,adequate_descriptive_sample
economic_subsector_peers,1,initiator_reversal,226,226,0.0027812498461984568,0.0025580787799749246,0.03736226944632892,-0.10321230645005977,0.26805245177235193,0.5353982300884956,-0.00211619370151904,0.007678693393915954,0.95,adequate_descriptive_sample
economic_subsector_peers,3,convergence,196,196,0.0020598446295170703,0.001204447007449717,0.04514365151678351,-0.1663885100468658,0.17822029095814879,0.5153061224489796,-0.00429961911408659,0.00841930837312073,0.95,adequate_descriptive_sample
economic_subsector_peers,3,peer_catchup,196,196,0.001762908247353488,-0.0003172973315667257,0.023680744193841197,-0.09327662465248283,0.08354193807285967,0.49489795918367346,-0.0015730388695140312,0.005098855364221007,0.95,adequate_descriptive_sample
economic_subsector_peers,3,initiator_reversal,196,196,0.0002969363821635826,-0.0018573194700174274,0.042763110366322736,-0.1398658150796836,0.19937508593014344,0.4846938775510204,-0.005727176439929365,0.00632104920425653,0.95,adequate_descriptive_sample
economic_subsector_peers,5,convergence,173,173,0.003760951149214081,0.0009755050179123606,0.05168500229348938,-0.2336508793602154,0.19803988066955328,0.5144508670520231,-0.003995375875189864,0.011517278173618027,0.95,adequate_descriptive_sample
economic_subsector_peers,5,peer_catchup,173,173,0.0021766361934518535,-0.0009148276990219072,0.027798962206479916,-0.07494924395049815,0.12306048310905286,0.4797687861271676,-0.0019951318677767114,0.0063484042546804184,0.95,adequate_descriptive_sample
