variation_type,specification,horizon,notes,convergence_mean,peer_catchup_mean,convergence_ci_lower,peer_catchup_ci_lower,convergence_ci_upper,peer_catchup_ci_upper,convergence_sample_size,peer_catchup_sample_size,convergence_event_count,peer_catchup_event_count,convergence_status,peer_catchup_status
event_threshold,2.5_sigma,1,minimum absolute move remains 5%; all other rules frozen,0.005755717397724138,0.0020319895859578544,0.0010885966109366353,-0.00011752371638347123,0.01042283818451164,0.00418150288829918,282,282,282,282,estimated_exploratory,estimated_exploratory
event_threshold,2.5_sigma,3,minimum absolute move remains 5%; all other rules frozen,0.004696125808036477,0.002211865993968437,-0.0013620339508078044,-0.000929328978926074,0.010754285566880758,0.005353060966862948,240,240,240,240,estimated_exploratory,estimated_exploratory
event_threshold,2.5_sigma,5,minimum absolute move remains 5%; all other rules frozen,0.006871854236521758,0.0020195511861282565,-0.0003106420764455893,-0.0018338706185369504,0.014054350549489105,0.0058729729907934635,214,214,214,214,estimated_exploratory,estimated_exploratory
event_threshold,2.5_sigma,10,minimum absolute move remains 5%; all other rules frozen,0.001715258769731689,-0.00015220915378163182,-0.011226697361994444,-0.0068343754695045,0.014657214901457822,0.006529957161941236,141,141,141,141,estimated_exploratory,estimated_exploratory
event_threshold,2.5_sigma,20,minimum absolute move remains 5%; all other rules frozen,0.0035356124579876465,-0.017709574305066075,-0.03516601138297831,-0.037116513299907644,0.04223723629895361,0.001697364689775497,37,37,37,37,estimated_exploratory,estimated_exploratory
event_threshold,2_sigma,1,minimum absolute move remains 5%; all other rules frozen,0.0053041145891237155,0.001255684885343671,0.0009962006895580565,-0.0007685197009077223,0.009612028488689375,0.0032798894715950645,319,319,319,319,estimated_exploratory,estimated_exploratory
event_threshold,2_sigma,3,minimum absolute move remains 5%; all other rules frozen,0.007305008972209794,0.002566393995663501,0.0015976553211033825,-0.0003179016226629327,0.013012362623316207,0.005450689613989935,274,274,274,274,estimated_exploratory,estimated_exploratory
event_threshold,2_sigma,5,minimum absolute move remains 5%; all other rules frozen,0.00880281441112493,0.0028992064489864197,0.0017415846903001434,-0.0007540823341490714,0.015864044131949716,0.00655249523212191,243,243,243,243,estimated_exploratory,estimated_exploratory
event_threshold,2_sigma,10,minimum absolute move remains 5%; all other rules frozen,0.007004750300343994,0.0020325503948493335,-0.00618391088104056,-0.004229413550920481,0.020193411481728547,0.008294514340619149,161,161,161,161,estimated_exploratory,estimated_exploratory
event_threshold,2_sigma,20,minimum absolute move remains 5%; all other rules frozen,0.012395221229449454,-0.0015333984036120492,-0.02481578628679546,-0.020792974016167007,0.04960622874569437,0.01772617720894291,47,47,47,47,estimated_exploratory,estimated_exploratory
event_threshold,3_sigma,1,minimum absolute move remains 5%; all other rules frozen,0.0053963111301805365,0.0026150612839820784,0.0001672700765492762,0.0001812533690753169,0.010625352183811797,0.00504886919888884,226,226,226,226,estimated_exploratory,estimated_exploratory
event_threshold,3_sigma,3,minimum absolute move remains 5%; all other rules frozen,0.00205984462951707,0.001762908247353488,-0.00429961911408659,-0.0015730388695140312,0.00841930837312073,0.005098855364221007,196,196,196,196,estimated_exploratory,estimated_exploratory
event_threshold,3_sigma,5,minimum absolute move remains 5%; all other rules frozen,0.003760951149214081,0.0021766361934518526,-0.003995375875189864,-0.0019951318677767123,0.011517278173618027,0.006348404254680418,173,173,173,173,estimated_exploratory,estimated_exploratory
event_threshold,3_sigma,10,minimum absolute move remains 5%; all other rules frozen,-0.001475653278321781,0.002647004570049579,-0.01572711587556608,-0.004863628172090453,0.01277580931892252,0.01015763731218961,114,114,114,114,estimated_exploratory,estimated_exploratory
event_threshold,3_sigma,20,minimum absolute move remains 5%; all other rules frozen,0.005218087314219023,-0.013312708568917725,-0.04277756447585767,-0.03701126052197665,0.053213739104295714,0.010385843384141197,30,30,30,30,estimated_exploratory,estimated_exploratory
event_threshold,4_sigma,1,minimum absolute move remains 5%; all other rules frozen,0.006398506227517043,0.0025296409759762027,-0.00019809941096637224,-0.00064570665226261,0.012995111866000459,0.005704988604215016,157,157,157,157,estimated_exploratory,estimated_exploratory
event_threshold,4_sigma,3,minimum absolute move remains 5%; all other rules frozen,-0.0011183473086471742,0.0002928793797459869,-0.00851652283903227,-0.0037784811254965027,0.006279828221737922,0.004364239884988476,133,133,133,133,estimated_exploratory,estimated_exploratory
event_threshold,4_sigma,5,minimum absolute move remains 5%; all other rules frozen,0.0003984122544321329,0.0014977343765547383,-0.008458522462691201,-0.0034944687406041706,0.009255346971555466,0.0064899374937136475,117,117,117,117,estimated_exploratory,estimated_exploratory
event_threshold,4_sigma,10,minimum absolute move remains 5%; all other rules frozen,-0.004069399451437838,0.003871715709889678,-0.021895823324205102,-0.005419587685535254,0.013757024421329428,0.01316301910531461,74,74,74,74,estimated_exploratory,estimated_exploratory
event_threshold,4_sigma,20,minimum absolute move remains 5%; all other rules frozen,-0.006162348012449331,-0.022628418588721146,-0.07867613248418416,-0.057394491611294875,0.0663514364592855,0.012137654433852584,16,16,16,16,estimated_exploratory,estimated_exploratory
peer_advantage_horizon,economic_minus_correlation,1,paired common-event economic minus trailing-correlation peers; 10000 event bootstrap draws,0.00533391058516058,0.00533391058516058,0.002610379923872828,0.0025933623493762797,0.008127291395657009,0.008084826270057825,208,208,208,208,estimated_pre_specified,estimated_pre_specified
